icao_id,faa_id,name,lat,lon,elevation_m,state,country,market_group,has_metar,has_taf
KLVJ,LVJ,Houston/Pearland Rgnl,29.51924,-95.2423,11.0,TX,US,TX,True,False
KLVK,LVK,Livermore Muni,37.69309,-121.81489,120.0,CA,US,CA,True,True
KLVL,LVL,Lawrenceville Muni,36.77234,-77.79251,98.0,VA,US,VA,True,False
KLVM,LVM,Livingston/Mission Fld,45.69837,-110.44154,1418.0,MT,US,MT,True,True
KLVN,LVN,Lakeville/Airlake Arpt,44.6252,-93.22728,292.0,MN,US,MN,True,True
KLVS,LVS,Las Vegas Muni,35.65582,-105.13853,2095.0,NM,US,NM,True,True
KLVX,,Louisville/NEXRAD,37.975,-85.944,221.0,KY,US,KY,False,False
KLWA,LWA,South Haven Rgnl,42.34762,-86.2578,199.0,MI,US,MI,True,False
KLWB,LWB,Lewisburg/Greenbrier Valley Arpt,37.8633,-80.3923,702.0,WV,US,WV,True,True
KLWC,LWC,Lawrence Muni,39.00778,-95.2115,252.0,KS,US,KS,True,False
KLWD,LWD,Lamoni Muni,40.63064,-93.9005,345.0,IA,US,IA,True,False
KLWL,LWL,Wells Muni,41.116,-114.924,1748.0,NV,US,NV,False,False
KLWM,LWM,Lawrence Muni,42.71248,-71.12559,42.0,MA,US,MA,True,False
KLWS,LWS,Lewiston/Nez Perce Cnty,46.37458,-117.01531,435.0,ID,US,ID,True,True
KLWT,LWT,Lewistown Muni,47.05443,-109.45655,1254.0,MT,US,MT,True,True
KLWV,LWV,Lawrenceville-Vincennes Intl,38.76045,-87.59903,128.0,IL,US,IL,True,False
KLWX,,Washington/NEXRAD,38.976,-77.487,88.0,VA,US,VA,False,False
KLXL,LXL,Little Falls/Morrison Cnty,45.95094,-94.34407,335.0,MN,US,MN,True,False
KLXN,LXN,Lexington/Kelly Fld,40.79146,-99.77503,734.0,NE,US,NE,True,False
KLXT,LXT,Lee's Summit Muni,38.95766,-94.37117,306.0,MO,US,MO,True,False
KLXV,LXV,Leadville/Lake Cnty,39.22803,-106.31625,3027.0,CO,US,CO,True,False
KLXY,LXY,Mexia/Limestone Cnty,31.64462,-96.51218,164.0,TX,US,TX,True,False
KLYH,LYH,Lynchburg/Glenn Fld,37.32126,-79.20649,282.0,VA,US,VA,True,True
KLYO,LYO,Lyons/Rice Cnty,38.34299,-98.2266,515.0,KS,US,KS,True,False
KLYV,LYV,Luverne Muni,43.62166,-96.21395,435.0,MN,US,MN,True,False
KLZD,LZD,Danielson,41.819698333740234,-71.9010009765625,238.0,CT,US,CT,False,False
KLZK,,Little Rock/NEXRAD,34.837,-92.262,173.0,AR,US,AR,False,False
KLZU,LZU,Lawrenceville/Gwinnett Cnty,33.9828,-83.95851,316.0,GA,US,GA,True,False
KLZZ,LZZ,Lampasas Arpt,31.10591,-98.19748,356.0,TX,US,TX,True,False
KM01,M01,Memphis/Spain Arpt,35.20036,-90.05477,68.0,TN,US,TN,True,False
KM02,M02,Dickson Muni,36.1289,-87.42831,268.0,TN,US,TN,True,False
KM04,M04,Covington Muni,35.58186,-89.58584,83.0,TN,US,TN,True,False
KM08,M08,Bolivar/Whitehurst Fld,35.21546,-89.04491,149.0,TN,US,TN,True,False
