cluster_label,corridor,month,density_pct,seasonality_index,slab,intensity
multi-peak-directional,Seattle -> Phoenix Valley,Jan,0.0949367088607595,0.0114,9% - 12%,3.0
summer-peak,Seattle -> San Antonio,Jan,0.044444444444444446,0.0053,4% - 6%,1.0
summer-peak,Seattle -> St. Louis,Jan,0.03571428571428571,0.0043,< 4%,0.0
winter-spring-peak,South Florida -> Atlanta,Jan,0.12384937238493723,0.0149,12% - 15%,4.0
winter-spring-peak,South Florida -> Boston,Jan,0.07223796033994334,0.0087,6% - 9%,2.0
winter-spring-peak,South Florida -> Charlotte,Jan,0.08110781404549951,0.0097,6% - 9%,2.0
winter-spring-peak,South Florida -> Chicago,Jan,0.0970954356846473,0.0117,9% - 12%,3.0
winter-spring-peak,South Florida -> DMV,Jan,0.0951111111111111,0.0114,9% - 12%,3.0
winter-spring-peak,South Florida -> Dallas,Jan,0.09523809523809523,0.0114,9% - 12%,3.0
multi-peak-directional,South Florida -> Denver,Jan,0.0707070707070707,0.0085,6% - 9%,2.0
winter-spring-peak,South Florida -> Detroit,Jan,0.10638297872340426,0.0128,9% - 12%,3.0
winter-spring-peak,South Florida -> Houston,Jan,0.13387978142076504,0.0161,12% - 15%,4.0
winter-spring-peak,South Florida -> Minneapolis,Jan,0.1228813559322034,0.0147,12% - 15%,4.0
winter-spring-peak,South Florida -> Nashville,Jan,0.1325115562403698,0.0159,12% - 15%,4.0
winter-spring-peak,South Florida -> New York City,Jan,0.10968432316746923,0.0132,9% - 12%,3.0
winter-spring-peak,South Florida -> North Florida,Jan,0.13793103448275862,0.0166,12% - 15%,4.0
winter-spring-peak,South Florida -> Philadelphia,Jan,0.12897196261682242,0.0155,12% - 15%,4.0
winter-spring-peak,South Florida -> Pittsburgh,Jan,0.08831908831908832,0.0106,6% - 9%,2.0
winter-spring-peak,South Florida -> San Antonio,Jan,0.12218649517684887,0.0147,12% - 15%,4.0
winter-spring-peak,South Florida -> St. Louis,Jan,0.12748344370860928,0.0153,12% - 15%,4.0
multi-peak-directional,St. Louis -> Atlanta,Jan,0.04716981132075472,0.0057,4% - 6%,1.0
core-utilization,St. Louis -> Bay Area,Jan,0.01694915254237288,0.002,< 4%,0.0
core-utilization,St. Louis -> Boston,Jan,0.05325443786982249,0.0064,4% - 6%,1.0
core-utilization,St. Louis -> Charlotte,Jan,0.045454545454545456,0.0055,4% - 6%,1.0
core-utilization,St. Louis -> Chicago,Jan,0.07894736842105263,0.0095,6% - 9%,2.0
multi-peak-directional,St. Louis -> DMV,Jan,0.07936507936507936,0.0095,6% - 9%,2.0
winter-spring-peak,St. Louis -> Dallas,Jan,0.10218978102189781,0.0123,9% - 12%,3.0
multi-peak-directional,St. Louis -> Denver,Jan,0.07810894141829394,0.0094,6% - 9%,2.0
core-utilization,St. Louis -> Detroit,Jan,0.0449438202247191,0.0054,4% - 6%,1.0
winter-spring-peak,St. Louis -> Houston,Jan,0.08530805687203792,0.0102,6% - 9%,2.0
multi-peak-directional,St. Louis -> LA Basin,Jan,0.06620209059233449,0.0079,6% - 9%,2.0
multi-peak-directional,St. Louis -> Minneapolis,Jan,0.1574074074074074,0.0189,> 15%,5.0
core-utilization,St. Louis -> New York City,Jan,0.06233766233766234,0.0075,6% - 9%,2.0
multi-peak-directional,St. Louis -> North Florida,Jan,0.06291390728476821,0.0075,6% - 9%,2.0
multi-peak-directional,St. Louis -> Philadelphia,Jan,0.03296703296703297,0.004,< 4%,0.0
winter-spring-peak,St. Louis -> Phoenix Valley,Jan,0.06694560669456066,0.008,6% - 9%,2.0
core-utilization,St. Louis -> Pittsburgh,Jan,0.03409090909090909,0.0041,< 4%,0.0
winter-spring-peak,St. Louis -> San Antonio,Jan,0.1222707423580786,0.0147,12% - 15%,4.0
summer-peak,St. Louis -> Seattle,Jan,0.06944444444444445,0.0083,6% - 9%,2.0
winter-spring-peak,St. Louis -> South Florida,Jan,0.11054421768707483,0.0133,9% - 12%,3.0
