cluster_label,corridor
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Denver -> St. Louis
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> Denver
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Detroit -> North Florida
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,Houston -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,LA Basin -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Minneapolis -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,Nashville -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,New York City -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Denver
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,North Florida -> Seattle
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Philadelphia -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,Pittsburgh -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Denver
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> Minneapolis
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,Seattle -> Phoenix Valley
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,South Florida -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> Denver
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
core-utilization,St. Louis -> South Florida
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> Bay Area
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> LA Basin
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Minneapolis
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Phoenix Valley
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Atlanta -> Seattle
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> Atlanta
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> DMV
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Dallas
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
multi-peak-directional,Bay Area -> Houston
