cluster_label,corridor
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Phoenix Valley
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> Pittsburgh
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> San Antonio
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,Houston -> South Florida
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Bay Area
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> Houston
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> North Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
core-utilization,LA Basin -> South Florida
