corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
Charlotte -> Atlanta,17.65,5.88,5.88,11.76,8.82,2.94,5.88,0.0,5.88,2.94,11.76,20.59,0,winter-spring-peak,17.0
Phoenix Valley -> North Florida,12.5,18.75,15.62,12.5,3.12,3.12,3.12,3.12,9.38,0.0,15.62,3.12,0,winter-spring-peak,16.0
South Florida -> North Florida,13.79,13.79,6.9,17.24,13.79,3.45,13.79,0.0,3.45,6.9,0.0,6.9,0,winter-spring-peak,14.5
Pittsburgh -> Chicago,10.71,10.71,10.71,7.14,3.57,3.57,14.29,3.57,7.14,7.14,10.71,10.71,0,winter-spring-peak,14.0
LA Basin -> South Florida,11.11,7.41,11.11,25.93,11.11,0.0,7.41,3.7,3.7,3.7,3.7,11.11,0,winter-spring-peak,13.5
Nashville -> St. Louis,3.7,11.11,18.52,14.81,14.81,3.7,0.0,3.7,0.0,0.0,25.93,3.7,0,winter-spring-peak,13.5
LA Basin -> North Florida,24.0,32.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,12.0,8.0,0,winter-spring-peak,12.5
Nashville -> Atlanta,4.76,14.29,9.52,14.29,14.29,0.0,0.0,4.76,9.52,14.29,9.52,4.76,0,winter-spring-peak,10.5
Denver -> Dallas,8.23,7.91,8.7,3.96,6.41,9.02,12.9,11.95,11.0,7.28,5.06,7.59,1,summer-peak,632.0
Bay Area -> Denver,8.79,8.44,7.82,4.83,7.03,8.52,11.6,11.25,10.28,9.05,4.83,7.56,1,summer-peak,569.0
Seattle -> Bay Area,6.81,7.66,5.11,7.09,9.5,8.94,12.2,11.91,10.64,7.52,5.67,6.95,1,summer-peak,352.5
Denver -> Seattle,5.86,5.41,6.91,4.95,5.71,13.81,12.61,12.16,11.11,6.76,8.11,6.61,1,summer-peak,333.0
Denver -> St. Louis,6.82,9.15,8.49,3.49,5.82,7.82,15.81,11.98,11.48,7.49,3.33,8.32,1,summer-peak,300.5
Seattle -> Denver,6.34,3.89,8.38,6.34,6.95,10.02,13.5,14.72,11.25,7.57,6.13,4.91,1,summer-peak,244.5
Denver -> Minneapolis,6.76,6.76,6.76,5.56,4.35,11.84,11.11,15.46,10.39,5.8,5.8,9.42,1,summer-peak,207.0
Charlotte -> Boston,4.36,3.85,4.62,5.9,10.77,12.82,14.1,12.31,8.46,13.08,4.87,4.87,1,summer-peak,195.0
Boston -> Detroit,5.14,6.34,3.93,6.04,7.85,9.97,13.29,14.8,11.18,9.97,6.65,4.83,1,summer-peak,165.5
Detroit -> Denver,4.48,5.38,5.83,7.17,6.73,9.87,14.8,16.14,11.21,6.28,6.28,5.83,1,summer-peak,111.5
Detroit -> Dallas,6.25,6.73,5.77,5.77,7.21,11.06,12.98,13.94,10.1,6.73,9.62,3.85,1,summer-peak,104.0
Boston -> Nashville,2.9,5.8,4.35,4.83,8.7,11.11,14.98,10.63,13.04,10.14,10.63,2.9,1,summer-peak,103.5
Dallas -> Nashville,4.02,2.51,4.02,8.04,13.57,9.05,13.57,10.05,11.56,9.05,8.04,6.53,1,summer-peak,99.5
Detroit -> New York City,1.61,1.08,4.3,5.38,9.68,10.22,20.97,12.9,12.9,9.68,4.84,6.45,1,summer-peak,93.0
Dallas -> Detroit,7.78,5.56,3.33,8.89,8.33,12.22,11.67,9.44,9.44,9.44,7.22,6.67,1,summer-peak,90.0
Detroit -> Boston,3.89,2.78,3.33,5.56,6.67,12.78,18.89,20.0,14.44,9.44,1.67,0.56,1,summer-peak,90.0
Boston -> DMV,8.62,6.32,0.57,5.75,7.47,9.2,15.52,11.49,11.49,9.2,7.47,6.9,1,summer-peak,87.0
Minneapolis -> Seattle,4.4,6.29,5.03,5.66,11.95,10.06,13.21,13.84,10.69,10.06,5.03,3.77,1,summer-peak,79.5
Pittsburgh -> Minneapolis,3.82,7.64,7.64,6.37,7.64,11.46,13.38,6.37,14.65,7.64,5.1,8.28,1,summer-peak,78.5
Seattle -> Minneapolis,4.7,6.71,4.03,4.7,4.03,13.42,16.78,10.07,14.09,12.08,2.68,6.71,1,summer-peak,74.5
Dallas -> Seattle,4.86,10.42,6.94,9.03,4.86,11.11,12.5,10.42,11.11,6.94,5.56,6.25,1,summer-peak,72.0
Boston -> Pittsburgh,4.44,4.44,3.7,4.44,9.63,9.63,14.07,13.33,14.07,7.41,9.63,5.19,1,summer-peak,67.5
Boston -> Minneapolis,8.27,3.76,4.51,5.26,10.53,14.29,12.78,13.53,12.78,6.77,2.26,5.26,1,summer-peak,66.5
Minneapolis -> Boston,3.91,7.03,4.69,1.56,6.25,11.72,17.19,14.84,12.5,10.94,5.47,3.91,1,summer-peak,64.0
Seattle -> Dallas,4.69,7.03,5.47,9.38,7.81,7.81,13.28,12.5,10.94,7.03,8.59,5.47,1,summer-peak,64.0
Minneapolis -> Charlotte,6.14,0.0,6.14,8.77,8.77,6.14,14.04,14.04,11.4,7.89,10.53,6.14,1,summer-peak,57.0
Chicago -> Minneapolis,6.67,7.62,2.86,4.76,11.43,8.57,12.38,12.38,7.62,11.43,7.62,6.67,1,summer-peak,52.5
Minneapolis -> Pittsburgh,5.88,2.94,0.98,4.9,9.8,13.73,22.55,13.73,9.8,4.9,4.9,5.88,1,summer-peak,51.0
Detroit -> Charlotte,8.0,4.0,3.0,6.0,9.0,10.0,15.0,14.0,12.0,8.0,6.0,5.0,1,summer-peak,50.0
Atlanta -> Detroit,4.3,5.38,6.45,4.3,5.38,7.53,15.05,11.83,15.05,12.9,8.6,3.23,1,summer-peak,46.5
