corridor,month,density_pct,cluster_label,slab,intensity
Philadelphia -> Denver,Oct,6.18,core-utilization,6%-9%,2
Philadelphia -> Denver,Sep,8.19,core-utilization,6%-9%,2
Pittsburgh -> Denver,Apr,3.99,core-utilization,< 4%,0
Pittsburgh -> Denver,Aug,9.9,core-utilization,9%-12%,3
Pittsburgh -> Denver,Dec,6.6,core-utilization,6%-9%,2
Pittsburgh -> Denver,Feb,9.9,core-utilization,9%-12%,3
Pittsburgh -> Denver,Jan,8.94,core-utilization,6%-9%,2
Pittsburgh -> Denver,Jul,10.87,core-utilization,9%-12%,3
Pittsburgh -> Denver,Jun,9.63,core-utilization,9%-12%,3
Pittsburgh -> Denver,Mar,8.8,core-utilization,6%-9%,2
Pittsburgh -> Denver,May,5.78,core-utilization,4%-6%,1
Pittsburgh -> Denver,Nov,5.91,core-utilization,4%-6%,1
Pittsburgh -> Denver,Oct,7.57,core-utilization,6%-9%,2
Pittsburgh -> Denver,Sep,12.1,core-utilization,12%-15%,4
San Antonio -> Denver,Apr,3.66,core-utilization,< 4%,0
San Antonio -> Denver,Aug,6.79,core-utilization,6%-9%,2
San Antonio -> Denver,Dec,14.11,core-utilization,12%-15%,4
San Antonio -> Denver,Feb,12.72,core-utilization,12%-15%,4
San Antonio -> Denver,Jan,13.94,core-utilization,12%-15%,4
San Antonio -> Denver,Jul,9.41,core-utilization,9%-12%,3
San Antonio -> Denver,Jun,5.75,core-utilization,4%-6%,1
San Antonio -> Denver,Mar,13.41,core-utilization,12%-15%,4
San Antonio -> Denver,May,3.83,core-utilization,< 4%,0
San Antonio -> Denver,Nov,2.61,core-utilization,< 4%,0
San Antonio -> Denver,Oct,5.4,core-utilization,4%-6%,1
San Antonio -> Denver,Sep,8.36,core-utilization,6%-9%,2
San Antonio -> Minneapolis,Apr,7.94,core-utilization,6%-9%,2
San Antonio -> Minneapolis,Aug,11.11,core-utilization,9%-12%,3
San Antonio -> Minneapolis,Dec,15.87,core-utilization,> 15%,5
San Antonio -> Minneapolis,Feb,11.11,core-utilization,9%-12%,3
San Antonio -> Minneapolis,Jan,7.94,core-utilization,6%-9%,2
San Antonio -> Minneapolis,Jul,9.52,core-utilization,9%-12%,3
San Antonio -> Minneapolis,Jun,12.7,core-utilization,12%-15%,4
San Antonio -> Minneapolis,Mar,1.59,core-utilization,< 4%,0
San Antonio -> Minneapolis,May,4.76,core-utilization,4%-6%,1
San Antonio -> Minneapolis,Nov,6.35,core-utilization,6%-9%,2
San Antonio -> Minneapolis,Oct,4.76,core-utilization,4%-6%,1
