rank,w_TI,w_SI,w_LI,lift,spearman,top_decile_rph,verdict
26,0.15,0.85,0.0,1.0611361425478227,0.08900467642523732,7402.5140285864545,Low Corr
27,0.2,0.6,0.2,1.0610415314390387,0.06375549238221384,7401.854018968506,Low Corr
28,0.3,0.65,0.05,1.0610393772045854,0.07834856804516518,7401.838990971512,Low Corr
29,0.35,0.5,0.15,1.060575330559789,0.06871685228674206,7398.601789202306,Low Corr
30,0.1,0.9,0.0,1.0604410134498463,0.08885507576378293,7397.664789461404,Low Corr
31,0.4,0.45,0.15,1.0603222415971794,0.06463331995483393,7396.836233849814,Low Corr
32,0.35,0.55,0.1,1.0599888754803795,0.07516888039155464,7394.510662928876,Low Corr
33,0.25,0.6,0.15,1.059876664363753,0.06700271564666857,7393.727875186864,Low Corr
34,0.3,0.6,0.1,1.0595685533070485,0.0760882336429896,7391.578484238647,Low Corr
35,0.75,0.25,0.0,1.0591895453055258,0.06476599936442229,7388.934514312714,Low Corr
36,0.15,0.75,0.1,1.0590574954997265,0.06864257914871025,7388.013331345979,Low Corr
37,0.05,0.8,0.15,1.0588257330723718,0.04558116416777453,7386.396550472158,Low Corr
38,0.05,0.9,0.05,1.058703908227635,0.06608155364071028,7385.5466971064725,Low Corr
39,0.25,0.65,0.1,1.0585409745717678,0.07451708999703363,7384.41006757806,Low Corr
40,0.15,0.7,0.15,1.058465691128548,0.06582134734878799,7383.884888270514,Low Corr
41,0.8,0.2,0.0,1.058422885378136,0.057168850429077954,7383.5862742141035,Low Corr
42,0.1,0.7,0.2,1.0580998349063764,0.0496430449865915,7381.332665508063,Low Corr
43,0.0,0.7,0.3,1.0580079551316013,0.03664777664253158,7380.6917097489995,Low Corr
44,0.0,0.75,0.25,1.0579146098965193,0.03752314932200233,7380.040530899755,Low Corr
45,0.05,0.85,0.1,1.0578218711352878,0.051113671537202,7379.393582828264,Low Corr
46,0.0,0.95,0.05,1.057737498015562,0.03834499656575203,7378.804993695011,Low Corr
47,0.1,0.65,0.25,1.057526492926971,0.04368414061256413,7377.333016569957,Low Corr
48,0.0,0.8,0.2,1.057525045677968,0.03728746362158426,7377.322920522317,Low Corr
49,0.2,0.7,0.1,1.0574857645805291,0.07542176800568473,7377.048894539043,Low Corr
50,0.45,0.4,0.15,1.0574479452128909,0.061842959023041495,7376.785065621839,Low Corr
51,0.3,0.55,0.15,1.0573655447476893,0.07113382063738288,7376.210237779153,Low Corr
52,0.15,0.8,0.05,1.0572365223475921,0.07754646465104681,7375.310174075332,Low Corr
53,0.05,0.75,0.2,1.0571846171959065,0.042640256016781876,7374.948082352977,Low Corr
54,0.15,0.65,0.2,1.0571444768157008,0.051148196139406236,7374.6680619902045,Low Corr
55,0.1,0.75,0.15,1.0571283463640357,0.052243857133740676,7374.555535529226,Low Corr
56,0.2,0.75,0.05,1.0569166740285671,0.07843293918757839,7373.07890367216,Low Corr
57,0.85,0.15,0.0,1.0568863252846656,0.055408649111676124,7372.867190025369,Low Corr
58,0.1,0.85,0.05,1.05674545229128,0.0754099822107282,7371.884456266737,Low Corr
59,0.4,0.4,0.2,1.0565646858996511,0.05827303182896481,7370.6234250980915,Low Corr
60,0.6,0.3,0.1,1.0565308739013626,0.05003997153375273,7370.387551696338,Low Corr
61,0.6,0.35,0.05,1.0565044549225246,0.05456458783715367,7370.203252195429,Low Corr
62,0.05,0.7,0.25,1.0561470210329482,0.04213327122858294,7367.709783849766,Low Corr
63,0.5,0.3,0.2,1.0560913447319549,0.04655679634699901,7367.321384489271,Low Corr
64,0.05,0.65,0.3,1.0560751997398943,0.03994465353736239,7367.208756594105,Low Corr
65,0.7,0.25,0.05,1.056021076062787,0.053767555510150174,7366.831188379245,Low Corr
66,0.0,0.85,0.15,1.0559043204860523,0.038410172407943255,7366.0166983623285,Low Corr
67,0.0,0.9,0.1,1.0558071643552678,0.03834413084852474,7365.338934603035,Low Corr
68,0.35,0.4,0.25,1.055790996653606,0.049829104745557226,7365.226148285085,Low Corr
69,0.65,0.3,0.05,1.0555211143092178,0.053947837503081596,7363.3434418534625,Low Corr
70,0.15,0.6,0.25,1.0554166653615376,0.04773443849419889,7362.614803209021,Low Corr
71,0.3,0.45,0.25,1.0552547998803432,0.05466948812361129,7361.485625295612,Low Corr
72,0.25,0.55,0.2,1.0552171543205908,0.061764723749072416,7361.223008866856,Low Corr
73,0.6,0.25,0.15,1.0551990844218122,0.04856403844101391,7361.096952771091,Low Corr
74,0.55,0.35,0.1,1.055160056794752,0.05634401641053937,7360.824695003938,Low Corr
75,0.55,0.3,0.15,1.0546915514467496,0.048365535782072214,7357.556389202264,Low Corr
76,0.25,0.5,0.25,1.0545747165735766,0.0570858358105912,7356.741346011278,Low Corr
77,0.0,0.65,0.35,1.0544457532277025,0.03376668797529259,7355.841694271292,Low Corr
78,0.9,0.1,0.0,1.0542736129642556,0.0543884614830769,7354.640839202883,Low Corr
79,0.3,0.5,0.2,1.0542085982294653,0.06085660914416518,7354.1872946791855,Low Corr
80,0.1,0.6,0.3,1.0530230474856543,0.041611438668469475,7345.916861074324,Low Corr
81,0.5,0.35,0.15,1.0529147160690182,0.05512460558580573,7345.1611382229075,Low Corr
82,0.05,0.6,0.35,1.0526253177032014,0.03719293915654752,7343.14228750535,Low Corr
83,0.95,0.05,0.0,1.052130263420283,0.054280643737545306,7339.688775625699,Low Corr
84,0.75,0.2,0.05,1.052020644833301,0.04419566598218266,7338.924073439626,Low Corr
85,0.4,0.35,0.25,1.0518544802634509,0.040820508379319505,7337.764904969107,Low Corr
86,0.65,0.25,0.1,1.0516258496671118,0.05096376499759557,7336.16997183197,Low Corr
87,0.15,0.55,0.3,1.0512633524364203,0.04373646090340206,7333.64118148366,Low Corr
88,0.3,0.4,0.3,1.0508147449290943,0.04588525905349201,7330.511683549175,Low Corr
89,0.45,0.35,0.2,1.0506208724583204,0.05119617182819991,7329.159224022904,Low Corr
90,0.1,0.55,0.35,1.0498899779469832,0.0339240697128428,7324.060484420463,Low Corr
91,0.2,0.5,0.3,1.0495081266966497,0.043218886213732946,7321.396679915,Low Corr
92,0.2,0.55,0.25,1.0495042929339546,0.04809547261283994,7321.369935484202,Low Corr
93,0.2,0.45,0.35,1.0492148342843166,0.03337055036656715,7319.3506642251,Low Corr
94,0.15,0.5,0.35,1.0489008180829593,0.03335747227739477,7317.1600788303085,Low Corr
95,0.25,0.45,0.3,1.048599747950753,0.03588442836505422,7315.059805559156,Low Corr
96,0.45,0.3,0.25,1.048425776262954,0.038392083277534426,7313.846174425628,Low Corr
97,0.0,0.55,0.45,1.0473410167645907,0.023550860320609338,7306.27886323689,Low Corr
98,0.75,0.15,0.1,1.0470464681139744,0.04080956078437645,7304.224083995225,Low Corr
99,0.3,0.35,0.35,1.0466871956111083,0.014838884936791866,7301.71778943422,Low Corr
100,0.35,0.35,0.3,1.0465558458925208,0.03821115866508094,7300.801490294546,Low Corr
101,0.55,0.25,0.2,1.0463130722582792,0.03896111435143892,7299.107894947835,Low Corr
102,0.05,0.55,0.4,1.0462073192901462,0.029398815298606187,7298.370159421941,Low Corr
103,1.0,0.0,0.0,1.0461071934431745,0.03695848945168785,7297.67167884333,Low Corr
