AircraftType,corridor,month,density_pct,cluster_label,slab,intensity
Light Jet,Chicago -> Houston,Jun,9.05,winter-spring-peak,9%-12%,3
Light Jet,Chicago -> Houston,Jul,6.03,winter-spring-peak,6%-9%,2
Light Jet,Chicago -> Houston,Aug,3.45,winter-spring-peak,< 4%,0
Light Jet,Chicago -> Houston,Sep,6.9,winter-spring-peak,6%-9%,2
Light Jet,Chicago -> Houston,Oct,6.9,winter-spring-peak,6%-9%,2
Light Jet,Chicago -> Houston,Nov,13.79,winter-spring-peak,12%-15%,4
Light Jet,Chicago -> Houston,Dec,10.34,winter-spring-peak,9%-12%,3
Light Jet,Chicago -> South Florida,Jan,9.6,winter-spring-peak,9%-12%,3
Light Jet,Chicago -> South Florida,Feb,11.96,winter-spring-peak,9%-12%,3
Light Jet,Chicago -> South Florida,Mar,12.21,winter-spring-peak,12%-15%,4
Light Jet,Chicago -> South Florida,Apr,7.97,winter-spring-peak,6%-9%,2
Light Jet,Chicago -> South Florida,May,6.59,winter-spring-peak,6%-9%,2
Light Jet,Chicago -> South Florida,Jun,4.07,winter-spring-peak,4%-6%,1
Light Jet,Chicago -> South Florida,Jul,3.74,winter-spring-peak,< 4%,0
Light Jet,Chicago -> South Florida,Aug,3.25,winter-spring-peak,< 4%,0
Light Jet,Chicago -> South Florida,Sep,3.17,winter-spring-peak,< 4%,0
Light Jet,Chicago -> South Florida,Oct,9.03,winter-spring-peak,9%-12%,3
Light Jet,Chicago -> South Florida,Nov,12.45,winter-spring-peak,12%-15%,4
Light Jet,Chicago -> South Florida,Dec,15.95,winter-spring-peak,> 15%,5
Light Jet,DMV -> Atlanta,Jan,7.95,winter-spring-peak,6%-9%,2
Light Jet,DMV -> Atlanta,Feb,7.53,winter-spring-peak,6%-9%,2
Light Jet,DMV -> Atlanta,Mar,10.88,winter-spring-peak,9%-12%,3
Light Jet,DMV -> Atlanta,Apr,12.13,winter-spring-peak,12%-15%,4
Light Jet,DMV -> Atlanta,May,12.13,winter-spring-peak,12%-15%,4
Light Jet,DMV -> Atlanta,Jun,5.02,winter-spring-peak,4%-6%,1
Light Jet,DMV -> Atlanta,Jul,5.86,winter-spring-peak,4%-6%,1
Light Jet,DMV -> Atlanta,Aug,4.6,winter-spring-peak,4%-6%,1
Light Jet,DMV -> Atlanta,Sep,7.53,winter-spring-peak,6%-9%,2
Light Jet,DMV -> Atlanta,Oct,5.44,winter-spring-peak,4%-6%,1
Light Jet,DMV -> Atlanta,Nov,11.3,winter-spring-peak,9%-12%,3
Light Jet,DMV -> Atlanta,Dec,9.62,winter-spring-peak,9%-12%,3
Light Jet,DMV -> Nashville,Jan,10.47,winter-spring-peak,9%-12%,3
Light Jet,DMV -> Nashville,Feb,6.28,winter-spring-peak,6%-9%,2
Light Jet,DMV -> Nashville,Mar,10.99,winter-spring-peak,9%-12%,3
Light Jet,DMV -> Nashville,Apr,12.57,winter-spring-peak,12%-15%,4
Light Jet,DMV -> Nashville,May,9.95,winter-spring-peak,9%-12%,3
Light Jet,DMV -> Nashville,Jun,5.24,winter-spring-peak,4%-6%,1
Light Jet,DMV -> Nashville,Jul,4.19,winter-spring-peak,4%-6%,1
Light Jet,DMV -> Nashville,Aug,6.81,winter-spring-peak,6%-9%,2
