AircraftType,corridor,month,seasonality_index,cluster_label,slab,intensity
Light Jet,Chicago -> Charlotte,Oct,1.07,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Charlotte,Nov,1.07,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> Charlotte,Dec,1.02,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> DMV,Jan,0.45,core-utilization,< 0.5x,0
Light Jet,Chicago -> DMV,Feb,0.39,core-utilization,< 0.5x,0
Light Jet,Chicago -> DMV,Mar,0.32,core-utilization,< 0.5x,0
Light Jet,Chicago -> DMV,Apr,1.16,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> DMV,May,1.03,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> DMV,Jun,2.06,core-utilization,>= 1.6x,5
Light Jet,Chicago -> DMV,Jul,1.35,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> DMV,Aug,0.77,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> DMV,Sep,1.61,core-utilization,>= 1.6x,5
Light Jet,Chicago -> DMV,Oct,1.35,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> DMV,Nov,0.65,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> DMV,Dec,0.84,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> LA Basin,Jan,0.34,core-utilization,< 0.5x,0
Light Jet,Chicago -> LA Basin,Feb,0.51,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> LA Basin,Mar,1.18,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> LA Basin,Apr,0.68,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> LA Basin,May,1.35,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> LA Basin,Jun,1.18,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> LA Basin,Jul,0.34,core-utilization,< 0.5x,0
Light Jet,Chicago -> LA Basin,Aug,1.18,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> LA Basin,Sep,1.69,core-utilization,>= 1.6x,5
Light Jet,Chicago -> LA Basin,Oct,1.18,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> LA Basin,Nov,1.86,core-utilization,>= 1.6x,5
Light Jet,Chicago -> LA Basin,Dec,0.51,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> New York City,Jan,0.6,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> New York City,Feb,0.64,core-utilization,0.5x-0.7x,1
Light Jet,Chicago -> New York City,Mar,0.75,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> New York City,Apr,0.82,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> New York City,May,1.22,core-utilization,1.0x-1.3x,3
Light Jet,Chicago -> New York City,Jun,1.31,core-utilization,1.3x-1.6x,4
Light Jet,Chicago -> New York City,Jul,0.99,core-utilization,0.7x-1.0x,2
Light Jet,Chicago -> New York City,Aug,1.07,core-utilization,1.0x-1.3x,3
