corridor,month,seasonality_index,cluster_label,slab,intensity
Dallas -> Minneapolis,Mar,0.76,core-utilization,0.7x-1.0x,2
Dallas -> Minneapolis,Apr,0.71,core-utilization,0.7x-1.0x,2
Dallas -> Minneapolis,May,0.89,core-utilization,0.7x-1.0x,2
Dallas -> Minneapolis,Jun,1.16,core-utilization,1.0x-1.3x,3
Dallas -> Minneapolis,Jul,1.16,core-utilization,1.0x-1.3x,3
Dallas -> Minneapolis,Aug,1.11,core-utilization,1.0x-1.3x,3
Dallas -> Minneapolis,Sep,1.69,core-utilization,>= 1.6x,5
Dallas -> Minneapolis,Oct,1.69,core-utilization,>= 1.6x,5
Dallas -> Minneapolis,Nov,1.02,core-utilization,1.0x-1.3x,3
Dallas -> Minneapolis,Dec,0.84,core-utilization,0.7x-1.0x,2
Dallas -> Pittsburgh,Jan,0.64,core-utilization,0.5x-0.7x,1
Dallas -> Pittsburgh,Feb,0.96,core-utilization,0.7x-1.0x,2
Dallas -> Pittsburgh,Mar,0.96,core-utilization,0.7x-1.0x,2
Dallas -> Pittsburgh,Apr,0.42,core-utilization,< 0.5x,0
Dallas -> Pittsburgh,May,1.17,core-utilization,1.0x-1.3x,3
Dallas -> Pittsburgh,Jun,0.96,core-utilization,0.7x-1.0x,2
Dallas -> Pittsburgh,Jul,0.74,core-utilization,0.7x-1.0x,2
Dallas -> Pittsburgh,Aug,1.27,core-utilization,1.0x-1.3x,3
Dallas -> Pittsburgh,Sep,1.17,core-utilization,1.0x-1.3x,3
Dallas -> Pittsburgh,Oct,1.49,core-utilization,1.3x-1.6x,4
Dallas -> Pittsburgh,Nov,1.59,core-utilization,1.3x-1.6x,4
Dallas -> Pittsburgh,Dec,0.64,core-utilization,0.5x-0.7x,1
Denver -> Detroit,Jan,0.71,core-utilization,0.7x-1.0x,2
Denver -> Detroit,Feb,0.71,core-utilization,0.7x-1.0x,2
Denver -> Detroit,Mar,0.76,core-utilization,0.7x-1.0x,2
Denver -> Detroit,Apr,1.0,core-utilization,1.0x-1.3x,3
Denver -> Detroit,May,1.0,core-utilization,1.0x-1.3x,3
Denver -> Detroit,Jun,1.24,core-utilization,1.0x-1.3x,3
